"","Week.starting","Language","Country.code","Tweets","group"
"486",2019-08-04,"ar","USA",4,"1"
"487",2019-08-04,"ar","YEM",10,"1"
"489",2019-08-04,"en","ABW",1,"1"
"490",2019-08-04,"en","AFG",8,"1"
"491",2019-08-04,"en","ARE",6,"1"
"492",2019-08-04,"en","ARG",4,"1"
"493",2019-08-04,"en","ATA",2,"1"
"494",2019-08-04,"en","AUS",5,"1"
"495",2019-08-04,"en","AUT",1,"1"
"496",2019-08-04,"en","BEL",4,"1"
"497",2019-08-04,"en","BHS",1,"1"
"498",2019-08-04,"en","BIH",2,"1"
"499",2019-08-04,"en","BRA",7,"1"
"500",2019-08-04,"en","BTN",1,"1"
"501",2019-08-04,"en","CAN",18,"1"
"502",2019-08-04,"en","CHE",3,"1"
"503",2019-08-04,"en","CHN",4,"1"
"504",2019-08-04,"en","COL",10,"1"
"505",2019-08-04,"en","CRI",2,"1"
"506",2019-08-04,"en","CZE",1,"1"
"507",2019-08-04,"en","DEU",15,"1"
"508",2019-08-04,"en","DNK",7,"1"
"509",2019-08-04,"en","ECU",1,"1"
"510",2019-08-04,"en","ESP",7,"1"
"511",2019-08-04,"en","EST",1,"1"
"512",2019-08-04,"en","ETH",1,"1"
"513",2019-08-04,"en","FIN",15,"1"
"514",2019-08-04,"en","FRA",7,"1"
"515",2019-08-04,"en","GBR",41,"1"
"516",2019-08-04,"en","GGY",1,"1"
"517",2019-08-04,"en","GHA",3,"1"
"518",2019-08-04,"en","GRC",2,"1"
"519",2019-08-04,"en","GUY",2,"1"
"520",2019-08-04,"en","HKG",2,"1"
"521",2019-08-04,"en","HTI",3,"1"
"522",2019-08-04,"en","HUN",1,"1"
"523",2019-08-04,"en","IDN",16,"1"
"524",2019-08-04,"en","IMN",1,"1"
"525",2019-08-04,"en","IND",12,"1"
"526",2019-08-04,"en","IRL",4,"1"
"527",2019-08-04,"en","IRN",6,"1"
"528",2019-08-04,"en","IRQ",2,"1"
"529",2019-08-04,"en","ISR",2,"1"
"530",2019-08-04,"en","ITA",17,"1"
"531",2019-08-04,"en","JAM",3,"1"
"532",2019-08-04,"en","JEY",1,"1"
"533",2019-08-04,"en","JPN",9,"1"
"534",2019-08-04,"en","KAZ",2,"1"
"535",2019-08-04,"en","KEN",14,"1"
"536",2019-08-04,"en","KGZ",1,"1"
"537",2019-08-04,"en","LAO",1,"1"
"538",2019-08-04,"en","LBY",1,"1"
"539",2019-08-04,"en","LUX",1,"1"
"540",2019-08-04,"en","MAR",10,"1"
