Week starting,Language,Country code,Tweets
#date+week_start,#meta+lang,#country+code+v_iso2,#indicator+tweets
21/07/2019,ar,PRI,1
21/07/2019,ar,PSE,29
21/07/2019,ar,QAT,25
21/07/2019,ar,RUS,3
21/07/2019,ar,SAU,385
21/07/2019,ar,SDN,9
21/07/2019,ar,SOM,1
21/07/2019,ar,SWE,1
21/07/2019,ar,SYR,544
21/07/2019,ar,TUN,6
21/07/2019,ar,TUR,17
21/07/2019,ar,UGA,1
21/07/2019,ar,USA,62
21/07/2019,ar,VEN,1
21/07/2019,ar,YEM,104
21/07/2019,en,,595
21/07/2019,en,AFG,13
21/07/2019,en,AUS,4
21/07/2019,en,BEL,2
21/07/2019,en,BGD,2
21/07/2019,en,BGR,1
21/07/2019,en,BRA,2
21/07/2019,en,CAF,1
21/07/2019,en,CAN,22
21/07/2019,en,CHE,1
21/07/2019,en,CHN,4
21/07/2019,en,COL,2
21/07/2019,en,CZE,1
21/07/2019,en,DEU,8
21/07/2019,en,EGY,1
21/07/2019,en,ESP,1
21/07/2019,en,EST,1
21/07/2019,en,ETH,3
21/07/2019,en,FIN,7
21/07/2019,en,FJI,1
21/07/2019,en,FRA,1
21/07/2019,en,GBR,23
21/07/2019,en,GHA,5
21/07/2019,en,GRC,1
21/07/2019,en,HTI,1
21/07/2019,en,IDN,2
21/07/2019,en,IND,5
21/07/2019,en,IRL,2
21/07/2019,en,IRN,3
21/07/2019,en,IRQ,2
21/07/2019,en,ITA,3
21/07/2019,en,JAM,1
21/07/2019,en,JOR,1
21/07/2019,en,KEN,5
21/07/2019,en,KWT,1
21/07/2019,en,LBR,2
21/07/2019,en,LBY,1
21/07/2019,en,LKA,1
21/07/2019,en,LUX,3
21/07/2019,en,MAR,1
21/07/2019,en,MEX,2
21/07/2019,en,MOZ,3
21/07/2019,en,MYS,1
21/07/2019,en,NGA,3
21/07/2019,en,NLD,1
21/07/2019,en,NOR,2
21/07/2019,en,NPL,1
21/07/2019,en,PAK,1
21/07/2019,en,PAN,1
21/07/2019,en,PER,1
21/07/2019,en,PHL,4
21/07/2019,en,POL,1
21/07/2019,en,PRT,1
21/07/2019,en,QAT,2
21/07/2019,en,RUS,2
21/07/2019,en,SOM,3
21/07/2019,en,SWE,2
21/07/2019,en,SYR,4
21/07/2019,en,THA,1
21/07/2019,en,TWN,1
21/07/2019,en,UGA,2
21/07/2019,en,UKR,1
21/07/2019,en,USA,1381
21/07/2019,en,VNM,1
21/07/2019,en,YEM,2
21/07/2019,en,ZAF,1
21/07/2019,en,ZMB,2
21/07/2019,en,ZWE,4
21/07/2019,fr,,7
21/07/2019,fr,FRA,13
21/07/2019,fr,SEN,1
21/07/2019,fr,TUN,1
21/07/2019,fr,USA,1
28/07/2019,ar,,232
28/07/2019,ar,ARE,5
28/07/2019,ar,BHR,3
28/07/2019,ar,BRA,1
28/07/2019,ar,CAN,1
28/07/2019,ar,CHE,3
28/07/2019,ar,COL,1
28/07/2019,ar,DEU,2
28/07/2019,ar,DZA,1
28/07/2019,ar,EGY,29
28/07/2019,ar,FIN,1
28/07/2019,ar,FRA,3
28/07/2019,ar,GBR,69
28/07/2019,ar,HUN,1
28/07/2019,ar,IND,1
28/07/2019,ar,IRN,5
28/07/2019,ar,IRQ,6
28/07/2019,ar,JOR,2
28/07/2019,ar,JPN,1
28/07/2019,ar,KWT,5
28/07/2019,ar,LBN,6
28/07/2019,ar,LBY,7
28/07/2019,ar,MAR,2
28/07/2019,ar,OMN,4
28/07/2019,ar,PER,1
28/07/2019,ar,PHL,1
28/07/2019,ar,PSE,2
28/07/2019,ar,QAT,15
28/07/2019,ar,SAU,16
28/07/2019,ar,SDN,31
28/07/2019,ar,SHN,1
28/07/2019,ar,SWE,3
28/07/2019,ar,SYR,44
28/07/2019,ar,TUR,7
28/07/2019,ar,USA,11
28/07/2019,ar,YEM,20
28/07/2019,en,,582
28/07/2019,en,AFG,4
28/07/2019,en,AUS,2
28/07/2019,en,AZE,1
28/07/2019,en,BDI,1
28/07/2019,en,BEN,1
28/07/2019,en,BGD,1
28/07/2019,en,BGR,1
28/07/2019,en,BLR,1
28/07/2019,en,BRA,1
28/07/2019,en,CAN,17
